Listing Office - Office Name;Address;City;Property Type;PropDummy;County;Bedrooms - Total;Baths - Total;SqFtTotFn;DOM;Price - Closed;Price - List; Price - Original ; Tax - Gross Amount ;Lot - Acres;Year Built;Rooms - Total;Garage Capacity;Basement
C.G. Shepherd Realty, LLC;35 Deer Run;Grantham;Single Family;0;NH-Sullivan;3;3;2.218;41;$312.000;$340.000;340.000;7.133;0,8;2002;7;2;Yes
RE/MAX Upper Valley;1 Fairway Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.417;662;$224.000;$229.900;299.000; -   ;0,7;1970;7;2;Yes
Coldwell Banker LIFESTYLES - Grantham;17 Walton Heath Drive;Grantham;Single Family;0;NH-Sullivan;2;4;2.563;170;$310.000;$329.000;359.000;7.080;0,66;1992;8;1;Yes
C.G. Shepherd Realty, LLC;48 Fairway Dr;Grantham;Single Family;0;NH-Sullivan;3;2;2.212;222;$124.500;$125.000;225.000;6.780;0,77;1976;7;2;No
Vanessa Stone Real Estate;40 Pillsbury Road;Grantham;Single Family;0;NH-Sullivan;3;1;976;430;$172.000;$185.000;195.000;3.735;4;1985;6;2;No
C.G. Shepherd Realty, LLC;7 Fairway Drive;Grantham;Single Family;0;NH-Sullivan;3;3;3.330;818;$446.000;$499.907;499.907;11.151;0,59;2002;10;3;Yes
Coldwell Banker LIFESTYLES - Grantham;52 Fairway Dr;Grantham;Single Family;0;NH-Sullivan;3;4;2.632;105;$350.000;$375.000;397.500;4.641;0,66;1977;8;1;No
Coldwell Banker LIFESTYLES - Grantham;35 Old Beach Circle;Grantham;Condo;1;NH-Sullivan;3;2;1.469;105;$164.999;$169.900;169.900;4.712;0;1981;7;0;No
C.G. Shepherd Realty, LLC;37 FAIRWAY DRIVE;Grantham;Single Family;0;NH-Sullivan;3;3;2.290;689;$265.000;$289.000;309.000;6.466;0,52;1975;8;2;Yes
C.G. Shepherd Realty, LLC;114 GREENSWARD DRIVE;Grantham;Single Family;0;NH-Sullivan;3;3;3.360;302;$415.000;$449.000;474.114;9.267;0,64;1995;12;2;Yes
C.G. Shepherd Realty, LLC;9 Turnbuckle;Grantham;Single Family;0;NH-Sullivan;3;3;2.202;572;$285.000;$309.000;399.000;9.479;1,84;1979;7;2;Yes
C.G. Shepherd Realty, LLC;2 Shore Road;Grantham;Single Family;0;NH-Sullivan;3;2;1.920;106;$113.800;$139.002;187.002;5.269;0,7;1976;7;1;Yes
Four Seasons Sotheby's Int'l Realty;45 Bright Slope Way;Grantham;Single Family;0;NH-Sullivan;4;5;3.400;353;$506.500;$525.000;575.000;13.670;2,1;1984;12;2;No
RE/MAX Upper Valley/Hanover;82 Sanborn Hill Rd. Extension;Grantham;Single Family;0;NH-Sullivan;3;3;2.682;6;$373.800;$373.800;373.800; -   ;3,7;2014;9;2;Yes
Coldwell Banker LIFESTYLES - Grantham;9 Summit Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.472;15;$120.000;$125.000;125.000;3.669;0,78;1975;5;0;Yes
Coldwell Banker LIFESTYLES - Grantham;815 Covered Bridge Lane;Grantham;Condo;1;NH-Sullivan;3;2;1.566;94;$167.000;$199.900;209.500;4.871;0;1986;7;0;Yes
Coldwell Banker LIFESTYLES - Grantham;1 Morning Hollow Lane;Grantham;Single Family;0;NH-Sullivan;3;2;1.798;29;$196.000;$199.900;199.900;5.340;0,94;1974;6;2;Yes
Coldwell Banker LIFESTYLES - Grantham;56 College Overlook;Grantham;Condo;1;NH-Sullivan;3;3;1.432;28;$135.000;$152.000;152.000;4.449;0;1981;6;0;Yes
RE/MAX Upper Valley;668 Olde Farms Road;Grantham;Single Family;0;NH-Sullivan;3;4;3.002;269;$319.480;$324.900;349.000;7.172;6,35;1996;7;2;Yes
C.G. Shepherd Realty, LLC;44 Troon Drive;Grantham;Single Family;0;NH-Sullivan;2;2;1.296;103;$98.200;$114.000;114.000;2.913;1,33;1971;5;0;Yes
Coldwell Banker LIFESTYLES - Grantham;18 Hummingbird Hill;Grantham;Single Family;0;NH-Sullivan;2;2;1.735;65;$160.000;$189.000;205.000;4.490;0,47;1989;7;2;Yes
C.G. Shepherd Realty, LLC;2 Greensward Drive;Grantham;Single Family;0;NH-Sullivan;4;2;2.108;179;$229.500;$269.000;269.000;6.500;0,5;1974;8;2;Yes
Coldwell Banker LIFESTYLES - Grantham;440 ROAD ROUND THE LAKE;Grantham;Single Family;0;NH-Sullivan;3;4;4.298;154;$535.000;$550.000;599.000;15.615;1,17;1989;10;2;Yes
C.G. Shepherd Realty, LLC;26 ALLEN'S DRIVE;Grantham;Single Family;0;NH-Sullivan;3;2;2.928;274;$274.500;$279.026;324.900;6.209;1,25;1972;9;2;Yes
LindeMac Real Estate;8 Wedgewood Drive;Grantham;Single Family;0;NH-Sullivan;3;4;2.314;66;$204.000;$209.000;209.000;7.447;0,6;1972;9;1;Yes
Coldwell Banker Redpath and Co./Quechee;5 Summit Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.592;112;$150.000;$158.500;168.600;4.204;0,44;1989;7;0;No
LindeMac Real Estate;41 Splitrock Road;Grantham;Single Family;0;NH-Sullivan;3;2;1.566;8;$274.250;$279.000;279.000;6.668;2,89;1987;8;2;Yes
C.G. Shepherd Realty, LLC;33 Spring Valley Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.698;307;$210.000;$219.033;237.900;6.141;1,13;1980;7;2;No
RE/MAX Upper Valley;15 Mill Pond Lane;Grantham;Single Family;0;NH-Sullivan;4;3;4.080;131;$387.000;$399.000;439.000;8.336;1,45;2005;12;2;Yes
C.G. Shepherd Realty, LLC;40 Barn Owl Overlook;Grantham;Condo;1;NH-Sullivan;3;3;2.321;416;$206.000;$219.900;249.000;6.819;0;1988;8;0;Yes
Derek Greene;7 Turnbuckle Road;Grantham;Single Family;0;NH-Sullivan;4;3;2.345;53;$339.550;$345.000;364.000;7.769;1,6;1980;7;2;Yes
LindeMac Real Estate;584 New Aldrich Road;Grantham;Single Family;0;NH-Sullivan;3;2;1.488;7;$219.900;$219.900;219.900;4.035;5,22;1994;7;2;Yes
C.G. Shepherd Realty, LLC;10 Highwood Way;Grantham;Single Family;0;NH-Sullivan;3;3;3.077;302;$275.000;$294.000;294.000;5.503;1,53;1977;10;0;Yes
Century 21 Highview Realty;13 Forest Road;Grantham;Single Family;0;NH-Sullivan;3;3;2.456;165;$182.000;$189.900;279.900;6.732;1;1990;8;2;Yes
Coldwell Banker Homes Unlimited;29 Cote Road;Grantham;Single Family;0;NH-Sullivan;0;1;3.600;77;$85.000;$125.000;135.000;3.080;6;1980;5;0;No
Coldwell Banker LIFESTYLES - Grantham;12 Fairway Drive;Grantham;Single Family;0;NH-Sullivan;3;2;2.252;297;$285.000;$289.900;309.500;6.911;1,05;1985;10;2;Yes
Harbor Light Realty;53 College Overlook;Grantham;Condo;1;NH-Sullivan;3;2;1.238;279;$115.000;$127.900;147.500;4.306;0;1981;5;0;Yes
C.G. Shepherd Realty, LLC;27 Highwood Way;Grantham;Single Family;0;NH-Sullivan;4;3;3.368;144;$297.937;$295.000;325.000;7.702;3,46;1982;13;2;Yes
C.G. Shepherd Realty, LLC;430 Road Round The Lake;Grantham;Single Family;0;NH-Sullivan;4;5;4.091;78;$665.000;$725.000;725.000;14.251;1,25;1991;9;2;Yes
Coldwell Banker LIFESTYLES - Grantham;70 Troon Drive;Grantham;Single Family;0;NH-Sullivan;3;2;2.276;114;$172.500;$179.000;189.000;5.536;0,63;1978;11;2;Yes
C.G. Shepherd Realty, LLC;21 Anderson Pond Road;Grantham;Single Family;0;NH-Sullivan;3;3;2.612;618;$249.000;$239.000;299.000;7.551;2,42;1990;8;2;Yes
Coldwell Banker LIFESTYLES - Grantham;41 Terrace;Grantham;Condo;1;NH-Sullivan;3;3;1.432;251;$160.000;$175.000;199.900;5.060;0;1983;7;0;Yes
C.G. Shepherd Realty, LLC;92 Longwood Drive;Grantham;Single Family;0;NH-Sullivan;3;3;1.724;582;$158.000;$169.000;189.036;4.382;0,48;1997;7;2;No
Coldwell Banker LIFESTYLES - Grantham;847 Cove Drive;Grantham;Condo;1;NH-Sullivan;4;4;2.340;22;$170.000;$179.900;179.900;6.149;0;1986;9;0;Yes
Derek Greene;52 Anderson Pond Road;Grantham;Single Family;0;NH-Sullivan;3;2;1.803;10;$236.000;$244.000;244.000;4.558;1,6;1978;7;2;No
C.G. Shepherd Realty, LLC;76 LONGWOOD DRIVE;Grantham;Single Family;0;NH-Sullivan;2;1;961;424;$105.000;$129.000;149.076;3.523;0,43;1978;5;2;No
Coldwell Banker LIFESTYLES - Grantham;75 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;2;2;1.100;17;$134.000;$139.000;139.000;4.064;0;1979;6;0;Yes
C.G. Shepherd Realty, LLC;100 Greensward Drive;Grantham;Single Family;0;NH-Sullivan;3;3;2.160;141;$239.900;$239.900;249.500;6.797;0,74;1976;9;2;Yes
RE/MAX Upper Valley;524 Route 114;Grantham;Single Family;0;NH-Sullivan;2;1;784;113;$99.000;$99.000;99.000;2.332;2,6;2000;5;0;No
Coldwell Banker LIFESTYLES - Grantham;2 Warbler Way;Grantham;Single Family;0;NH-Sullivan;4;2;1.680;120;$166.000;$169.000;169.000;4.316;0,41;1981;9;0;No
Century 21 Highview Realty;178 Meadow Brook Road;Grantham;Single Family;0;NH-Sullivan;4;3;3.000;82;$236.500;$229.900;244.000;6.759;5,11;1999;8;0;Yes
Four Seasons Sotheby's Int'l Realty;5 Forest Road;Grantham;Single Family;0;NH-Sullivan;3;2;1.685;227;$219.000;$219.000;245.000;5.313;0,76;1992;6;2;Yes
Coldwell Banker LIFESTYLES - Grantham;11 Allens Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.493;104;$200.705;$199.500;219.900;4.694;2,4;1974;6;2;Yes
Coldwell Banker LIFESTYLES - Grantham;12 Sandy Brae;Grantham;Single Family;0;NH-Sullivan;3;4;4.377;80;$597.500;$629.000;629.000;12.879;2,59;1995;10;2;Yes
Four Seasons Sotheby's Int'l Realty;24 Robin Lane;Grantham;Single Family;0;NH-Sullivan;3;2;1.728;157;$192.000;$199.000;235.900;5.367;0,54;2003;6;2;Yes
C.G. Shepherd Realty, LLC;10 Barn Owl Overlook;Grantham;Single Family;0;NH-Sullivan;4;3;2.516;58;$310.000;$325.010;325.010;5.990;1,38;1999;10;2;Yes
Coldwell Banker LIFESTYLES - Grantham;19 Allens Drive;Grantham;Single Family;0;NH-Sullivan;3;3;2.596;77;$311.250;$349.500;349.500;6.610;1,05;2001;10;2;Yes
RE/MAX Upper Valley;15 Forest;Grantham;Single Family;0;NH-Sullivan;3;2;1.720;264;$172.500;$189.000;239.000;6.221;0,83;1984;5;1;Yes
Four Seasons Sotheby's Int'l Realty;49 Fairway Drive;Grantham;Single Family;0;NH-Sullivan;3;3;3.338;111;$390.000;$419.000;419.000;8.531;0,45;2000;10;2;Yes
Coldwell Banker LIFESTYLES - Grantham;19 Loon Drive;Grantham;Single Family;0;NH-Sullivan;3;3;1.888;177;$457.500;$474.859;474.859;8.074;0,94;1979;9;1;No
Century 21 Highview Realty;36 Longwood Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.425;168;$109.900;$109.900;142.800;4.818;0,63;1976;6;2;No
Coldwell Banker LIFESTYLES - Grantham;75 Longwood Drive;Grantham;Single Family;0;NH-Sullivan;3;3;2.371;110;$332.500;$349.980;368.900;8.799;1,14;1979;8;2;Yes
Coldwell Banker LIFESTYLES - Grantham;15 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;2;3;1.238;7;$154.000;$159.900;159.900;4.779;0;1979;6;0;No
Four Seasons Sotheby's Int'l Realty;11 Cherry Lane;Grantham;Single Family;0;NH-Sullivan;3;3;1.866;143;$345.000;$399.000;437.500;7.850;1,3;1982;7;2;No
Coldwell Banker LIFESTYLES - Grantham;77 Greensward Drive;Grantham;Single Family;0;NH-Sullivan;2;3;2.134;39;$342.500;$358.900;358.900;6.469;0,56;1980;9;2;Yes
Coldwell Banker LIFESTYLES - Grantham;15 Bogie Place;Grantham;Single Family;0;NH-Sullivan;3;3;1.532;402;$165.000;$175.000;210.000;4.320;0,85;1976;8;0;Yes
Coldwell Banker LIFESTYLES - Grantham;5 Ivy Circle;Grantham;Single Family;0;NH-Sullivan;3;3;3.123;125;$289.060;$299.900;299.900;8.611;0,63;1978;9;2;Yes
Ideal Properties;908 Route 10 South;Grantham;Single Family;0;NH-Sullivan;2;3;1.876;150;$190.000;$199.000;229.000;4.938;4,7;1965;5;5;Yes
C.G. Shepherd Realty, LLC;28 Butternut Road;Grantham;Single Family;0;NH-Sullivan;4;4;3.628;11;$350.000;$374.900;374.900;8.637;0,84;2005;0;2;Yes
C.G. Shepherd Realty, LLC;48 Greensward Drive;Grantham;Single Family;0;NH-Sullivan;3;2;2.044;87;$220.000;$225.000;225.000;5.286;0,61;1989;8;0;Yes
BHGRE The Milestone Team;170 Stocker Pond Road;Grantham;Single Family;0;NH-Sullivan;3;2;1.672;7;$237.500;$245.000;245.000;5.454;1,5;2003;8;2;Yes
Ideal Properties;29 Granite Way;Grantham;Single Family;0;NH-Sullivan;3;3;2.016;209;$270.000;$289.000;289.000;9.086;1,54;1979;7;0;Yes
C.G. Shepherd Realty, LLC;624 Otter Road;Grantham;Condo;1;NH-Sullivan;4;4;2.494;66;$205.000;$239.000;239.000;6.497;0;1983;9;0;Yes
Coldwell Banker Redpath and Company;15 Wildwood Dr;Grantham;Single Family;0;NH-Sullivan;2;3;1.562;304;$118.000;$149.000;169.000;4.734;1,36;1985;7;1;Yes
C.G. Shepherd Realty, LLC;35 Spring Valley Drive;Grantham;Single Family;0;NH-Sullivan;3;4;2.324;59;$496.000;$499.000;499.000;9.626;2,26;2004;8;2;Yes
Coldwell Banker LIFESTYLES - Grantham;18 Shore Road;Grantham;Single Family;0;NH-Sullivan;3;3;1.714;103;$256.000;$279.000;279.000;6.318;0,73;1995;6;2;Yes
C.G. Shepherd Realty, LLC;53 Road Round The;Grantham;Single Family;0;NH-Sullivan;3;2;1.176;14;$157.000;$159.000;159.000;3.990;0,58;1985;6;0;Yes
C.G. Shepherd Realty, LLC;15 Deer;Grantham;Single Family;0;NH-Sullivan;2;1;1.008;336;$103.400;$112.000;117.000;3.023;1,41;1976;6;0;Yes
C.G. Shepherd Realty, LLC;60 Woodland Heights;Grantham;Single Family;0;NH-Sullivan;3;3;2.136;379;$285.000;$309.900;329.000;5.741;1,44;2004;7;2;Yes
C.G. Shepherd Realty, LLC;20 Nightingale Lane;Grantham;Single Family;0;NH-Sullivan;3;3;2.188;78;$300.000;$319.999;319.999;6.387;1,31;2008;8;2;Yes
Coldwell Banker LIFESTYLES - Grantham;7 Par Brae;Grantham;Single Family;0;NH-Sullivan;3;3;2.884;46;$443.000;$469.750;469.750;11.387;0,66;1994;11;2;Yes
C.G. Shepherd Realty, LLC;643 Marmot Lane Lane;Grantham;Condo;1;NH-Sullivan;3;3;1.898;276;$128.000;$132.000;165.000;2.867;0;1983;8;0;Yes
www.EntryOnly.com;89 Rawson;Grantham;Single Family;0;NH-Sullivan;4;4;3.068;271;$300.000;$336.000;348.500;7.639;6,01;2004;7;2;Yes
Coldwell Banker LIFESTYLES - Grantham;57 Bright Slope Way;Grantham;Single Family;0;NH-Sullivan;3;2;1.912;28;$195.000;$199.900;199.900;5.827;4,32;1979;8;2;No
C.G. Shepherd Realty, LLC;46 Black Duck;Grantham;Condo;1;NH-Sullivan;3;2;1.238;10;$120.000;$129.000;129.000;3.735;0;1979;6;0;Yes
C.G. Shepherd Realty, LLC;56 BEECH RIDGE ROAD;Grantham;Single Family;0;NH-Sullivan;0;0;336;311;$19.000;$32.900;32.900;615;1;1987;1;0;No
Coldwell Banker LIFESTYLES - Grantham;24 Niblick Lane;Grantham;Condo;1;NH-Sullivan;3;3;2.489;182;$175.000;$182.000;197.500;6.606;0;1987;8;0;Yes
Coldwell Banker LIFESTYLES - Grantham;49 Black Duck;Grantham;Condo;1;NH-Sullivan;3;2;1.238;6;$170.000;$169.900;169.900;4.111;0;1979;6;0;No
Four Seasons Sotheby's Int'l Realty;1029 Dunbar Hill Road;Grantham;Single Family;0;NH-Sullivan;4;4;3.962;66;$385.000;$409.000;430.000;10.253;4,14;2005;8;2;Yes
Bean Group / Vermont;45 Troon Drive;Grantham;Single Family;0;NH-Sullivan;5;4;5.176;121;$625.000;$644.900;644.900;9.732;0,72;1983;8;2;Yes
Coldwell Banker Redpath and Company;2 Corbin Court;Grantham;Condo;1;NH-Sullivan;2;3;1.913;38;$136.500;$139.000;139.000;4.084;0;2002;7;2;Yes
C.G. Shepherd Realty, LLC;16 Niblick Lane;Grantham;Condo;1;NH-Sullivan;2;2;1.472;128;$150.000;$168.000;173.000;4.703;0;1987;6;0;Yes
C.G. Shepherd Realty, LLC;70 PINTAIL KNOB;Grantham;Condo;1;NH-Sullivan;2;2;1.182;147;$80.000;$84.999;89.900;4.073;0;1979;6;0;No
C.G. Shepherd Realty, LLC;18 Fairway Drive;Grantham;Single Family;0;NH-Sullivan;3;2;2.304;224;$228.500;$249.000;269.000;7.300;0,8;1979;8;1;Yes
C.G. Shepherd Realty, LLC;809 Covered Bridge Lane Lane;Grantham;Condo;1;NH-Sullivan;3;3;2.279;114;$150.000;$159.999;169.900;5.140;0;1986;8;0;Yes
C.G. Shepherd Realty, LLC;10 Troon Drive;Grantham;Single Family;0;NH-Sullivan;3;4;2.232;188;$220.000;$234.510;249.510;5.197;0,69;1999;8;0;Yes
Coldwell Banker LIFESTYLES - Grantham;814 Covered Bridge Lane;Grantham;Condo;1;NH-Sullivan;2;3;1.812;60;$207.000;$229.000;229.000;5.331;0;1985;7;0;Yes
C.G. Shepherd Realty, LLC;74 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;3;2;1.245;293;$115.000;$119.000;149.000;2.628;0;1979;6;0;Yes
C.G. Shepherd Realty, LLC;9 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;3;2;1.245;394;$131.500;$139.000;139.000;2.597;0;1979;6;0;Yes
C.G. Shepherd Realty, LLC;5 Lakeview Place;Grantham;Condo;1;NH-Sullivan;3;3;2.493;450;$187.000;$199.999;265.000;5.723;0;1986;8;0;No
Coldwell Banker LIFESTYLES - Grantham;32 Highwood Way;Grantham;Single Family;0;NH-Sullivan;3;2;1.366;61;$158.300;$169.000;169.000;4.541;2,97;1975;8;2;No
Bean Group / Bedford;460 Walker Road;Grantham;Single Family;0;NH-Sullivan;3;3;3.560;178;$450.000;$457.000;497.000;9.540;8,36;1996;6;3;Yes
Coldwell Banker LIFESTYLES - Grantham;610 Otter Road;Grantham;Condo;1;NH-Sullivan;3;3;1.950;153;$160.000;$169.900;179.900;4.904;0;1983;8;0;Yes
Four Seasons Sotheby's Int'l Realty;39 Fairway Drive;Grantham;Single Family;0;NH-Sullivan;3;4;4.338;38;$700.000;$750.000;750.000;13.065;1,3;2000;9;3;Yes
Coldwell Banker LIFESTYLES - Grantham;46 Bright Slope Way;Grantham;Single Family;0;NH-Sullivan;3;3;2.670;44;$288.000;$294.000;299.000;7.334;4,49;1988;9;2;Yes
C.G. Shepherd Realty, LLC;2 Bay Tree Lane;Grantham;Condo;1;NH-Sullivan;3;3;1.432;141;$65.000;$84.000;101.400;4.670;0;1981;8;0;Yes
Coldwell Banker LIFESTYLES - Grantham;3 Highwood Way;Grantham;Single Family;0;NH-Sullivan;3;2;2.073;387;$265.000;$279.000;279.000;5.977;1,67;1976;9;2;No
Coldwell Banker LIFESTYLES - Grantham;27 Hummingbird;Grantham;Single Family;0;NH-Sullivan;4;4;3.392;10;$403.000;$424.500;424.500;8.068;0,77;1989;10;2;Yes
C.G. Shepherd Realty, LLC;25 Summit Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.640;72;$180.000;$194.000;194.000;5.343;0,56;2003;6;0;Yes
C.G. Shepherd Realty, LLC;10 Slalom Drive;Grantham;Single Family;0;NH-Sullivan;4;3;2.346;255;$275.500;$279.000;299.000;6.679;0,47;1987;10;2;No
C.G. Shepherd Realty, LLC;7 Bogie Place;Grantham;Single Family;0;NH-Sullivan;5;5;4.088;412;$215.000;$230.000;230.000;9.052;0,04;1979;12;0;Yes
C.G. Shepherd Realty, LLC;244 WALKER ROAD;Grantham;Single Family;0;NH-Sullivan;4;5;4.488;283;$456.000;$499.000;575.000;12.171;8,86;1987;11;7;Yes
Coldwell Banker LIFESTYLES - Grantham;53 Black Duck Spur;Grantham;Condo;1;NH-Sullivan;2;2;1.400;400;$139.000;$147.000;157.000;3.264;0;1980;7;0;No
Coldwell Banker LIFESTYLES - Grantham;40 Terrace;Grantham;Condo;1;NH-Sullivan;4;3;2.120;49;$175.000;$184.900;184.900;5.383;0;1982;8;0;Yes
C.G. Shepherd Realty, LLC;874 Olde Farms Road;Grantham;Single Family;0;NH-Sullivan;4;4;2.878;637;$339.000;$339.874;378.000;9.276;7,03;1985;11;3;Yes
C.G. Shepherd Realty, LLC;36 Old Beach Circle;Grantham;Condo;1;NH-Sullivan;2;2;1.100;407;$117.000;$119.000;135.000;3.754;0;1981;6;0;No
Coldwell Banker Redpath and Company;21 Corbin Ct;Grantham;Condo;1;NH-Sullivan;3;3;2.900;7;$299.000;$299.000;299.000;7.020;0;1998;9;2;Yes
C.G. Shepherd Realty, LLC;605 Miller Pond Road;Grantham;Single Family;0;NH-Sullivan;1;1;1.400;46;$69.000;$125.000;145.000;3.596;5,1;1989;4;0;Yes
Coldwell Banker LIFESTYLES - Grantham;619 Otter Road;Grantham;Condo;1;NH-Sullivan;3;3;1.787;112;$202.000;$209.999;219.999;4.023;0;1983;7;0;Yes
Coldwell Banker LIFESTYLES - Grantham;22 Niblick Lane;Grantham;Condo;1;NH-Sullivan;3;3;2.305;371;$156.500;$159.900;182.500;4.313;0;1987;9;0;Yes
Coldwell Banker LIFESTYLES - Grantham;32 Allens Drive;Grantham;Single Family;0;NH-Sullivan;3;3;2.654;164;$249.000;$269.000;269.000;6.847;1,17;1980;12;2;Yes
C.G. Shepherd Realty, LLC;37 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;3;2;1.469;61;$249.000;$249.900;249.900;5.702;0;1979;6;0;No
C.G. Shepherd Realty, LLC;17 Beaver Fells;Grantham;Single Family;0;NH-Sullivan;3;3;2.298;359;$285.000;$304.817;304.817;6.692;3,94;1998;7;4;Yes
C.G. Shepherd Realty, LLC;9 Mill Pond Road;Grantham;Single Family;0;NH-Sullivan;3;3;2.498;11;$232.000;$225.000;225.000;5.506;0,61;2000;9;2;Yes
C.G. Shepherd Realty, LLC;15 Wedgewood Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.656;339;$184.000;$187.998;194.915;6.036;0,52;1993;7;0;Yes
Coldwell Banker LIFESTYLES - Grantham;843 Cove Drive;Grantham;Condo;1;NH-Sullivan;3;3;1.906;17;$155.000;$155.000;155.000;5.022;0;1987;8;0;Yes
Coldwell Banker LIFESTYLES - Grantham;808 Covered Bridge Lane;Grantham;Condo;1;NH-Sullivan;2;3;1.876;9;$200.000;$205.000;205.000;4.700;0;1986;8;0;Yes
C.G. Shepherd Realty, LLC;37 Whitetail Ridge;Grantham;Single Family;0;NH-Sullivan;3;3;1.843;342;$189.000;$190.000;219.000;5.356;0,98;1984;7;2;Yes
Cushing Real Estate;226 New Aldrich Road;Grantham;Single Family;0;NH-Sullivan;4;3;2.920;12;$365.000;$369.000;369.000;9.846;6,2;1987;9;2;Yes
Coldwell Banker LIFESTYLES;219 Miller Pond Road;Grantham;Single Family;0;NH-Sullivan;3;3;2.102;66;$290.000;$299.900;299.900;5.378;2,78;2006;9;2;Yes
Coldwell Banker LIFESTYLES - Grantham;804 Covered Bridge Lane;Grantham;Condo;1;NH-Sullivan;3;3;2.106;114;$189.000;$215.000;215.000;5.002;0;1986;7;0;Yes
Coldwell Banker LIFESTYLES - Grantham;7 Rolling Hill;Grantham;Single Family;0;NH-Sullivan;4;4;3.470;211;$283.500;$305.000;395.000;9.487;0,86;1983;11;0;Yes
Coldwell Banker LIFESTYLES - Grantham;5 Trillium Lane;Grantham;Single Family;0;NH-Sullivan;3;2;3.044;6;$505.000;$525.000;525.000;10.728;1,8;1987;9;2;Yes
Coldwell Banker LIFESTYLES - Grantham;2101 Route 10 North;Grantham;Single Family;0;NH-Sullivan;3;3;2.705;104;$299.900;$299.900;325.000;6.227;5,17;1993;12;2;Yes
Coldwell Banker Redpath and Company;1 General Court;Grantham;Condo;1;NH-Sullivan;2;3;2.337;35;$180.000;$175.000;175.000;6.930;0;2004;7;2;Yes
Coldwell Banker LIFESTYLES - Grantham;27 Allens Drive;Grantham;Single Family;0;NH-Sullivan;3;3;2.560;211;$310.000;$325.000;349.000;7.435;0,96;2003;7;2;Yes
C.G. Shepherd Realty, LLC;11 Mill Pond Road;Grantham;Single Family;0;NH-Sullivan;3;3;2.024;156;$240.000;$249.900;249.900;6.787;0,61;2002;8;2;Yes
Keller Williams Realty-Metropolitan;13 Highwood Way Way;Grantham;Single Family;0;NH-Sullivan;3;2;1.640;90;$147.000;$148.000;158.000;5.000;2,31;1976;7;0;No
BHG Masiello Group/Quechee;416 Split Rock Rd;Grantham;Single Family;0;NH-Sullivan;5;4;4.088;144;$420.000;$425.000;450.000;15.433;7,1;2007;14;2;Yes
C.G. Shepherd Realty, LLC;4 Wildwood Drive;Grantham;Single Family;0;NH-Sullivan;3;3;2.708;43;$255.000;$288.004;288.004;7.558;3,31;1989;8;3;Yes
C.G. Shepherd Realty, LLC;27 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;2;2;1.245;3;$210.000;$199.000;199.000;4.009;0;1979;6;2;Yes
Coldwell Banker LIFESTYLES - Grantham;921 Dunbar Hill Rd;Grantham;Single Family;0;NH-Sullivan;4;3;3.423;183;$340.000;$425.000;425.000;10.941;4,15;2006;9;2;Yes
Coldwell Banker LIFESTYLES - Grantham;33 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;2;2;1.153;3;$194.000;$205.000;205.000;4.757;0;1980;6;0;No
Coldwell Banker LIFESTYLES - Grantham;52 Black Duck;Grantham;Condo;1;NH-Sullivan;2;2;1.153;147;$142.000;$149.000;149.000;3.264;0;1979;6;0;No
C.G. Shepherd Realty, LLC;839 Cove Drive;Grantham;Condo;1;NH-Sullivan;4;4;2.494;44;$100.000;$105.000;105.000;3.985;0;1987;9;0;Yes
RE/MAX Upper Valley;24 Barrister Path;Grantham;Condo;1;NH-Sullivan;3;3;2.080;16;$199.000;$199.000;199.000;1.692;1,02;2005;6;2;Yes
Century 21 Highview Realty;1 Water;Grantham;Condo;1;NH-Sullivan;3;2;1.248;88;$92.500;$107.000;123.000;4.190;0;1982;6;0;No
Coldwell Banker LIFESTYLES - Grantham;25 Old Spring Drive;Grantham;Single Family;0;NH-Sullivan;4;3;3.046;168;$270.000;$279.000;279.000;5.600;0,49;2000;8;2;Yes
Century 21 Shepard & Flint Realty;47 Fairway Drive;Grantham;Single Family;0;NH-Sullivan;3;2;1.440;131;$110.000;$129.900;169.900;5.145;0,57;1975;7;0;No
RE/MAX Upper Valley;24 Barrister Path;Grantham;Condo;1;NH-Sullivan;3;3;2.080;192;$219.000;$219.000;199.000;1.692;1,02;2005;6;2;Yes
C.G. Shepherd Realty, LLC;24 Butternut Road;Grantham;Single Family;0;NH-Sullivan;3;2;1.760;32;$182.000;$199.000;199.000;4.147;0,87;1986;8;1;Yes
Coldwell Banker LIFESTYLES - Grantham;76 Pleasant Drive;Grantham;Condo;1;NH-Sullivan;2;2;1.153;165;$105.000;$109.000;109.000;2.728;0;1979;6;0;Yes
